episode,hand,played_cards,discarded_cards,selected_cards,reward
0,"[(9, 'D'), (11, 'C'), (1, 'S'), (3, 'S'), (1, 'D'), (6, 'D'), (13, 'C'), (9, 'H')]",[],[],"[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D')]",24.0
0,"[(11, 'C'), (6, 'D'), (13, 'C'), (9, 'H'), (5, 'H'), (8, 'S'), (3, 'H'), (2, 'S')]","[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D')]",[],"[(11, 'C'), (13, 'C')]",18.0
0,"[(6, 'D'), (9, 'H'), (5, 'H'), (8, 'S'), (3, 'H'), (2, 'S'), (4, 'S'), (8, 'C')]","[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D'), (11, 'C'), (13, 'C')]",[],"[(6, 'D'), (9, 'H')]",14.0
0,"[(5, 'H'), (8, 'S'), (3, 'H'), (2, 'S'), (4, 'S'), (8, 'C'), (2, 'C'), (1, 'H')]","[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D'), (11, 'C'), (13, 'C'), (6, 'D'), (9, 'H')]",[],"[(5, 'H')]",0.0
0,"[(8, 'S'), (3, 'H'), (2, 'S'), (4, 'S'), (8, 'C'), (2, 'C'), (1, 'H'), (11, 'H')]","[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D'), (11, 'C'), (13, 'C'), (6, 'D'), (9, 'H')]","[(5, 'H')]","[(8, 'S'), (2, 'S'), (4, 'S'), (11, 'H')]",16.0
0,"[(3, 'H'), (8, 'C'), (2, 'C'), (1, 'H'), (7, 'S'), (7, 'C'), (13, 'S'), (10, 'S')]","[(9, 'D'), (1, 'S'), (3, 'S'), (1, 'D'), (11, 'C'), (13, 'C'), (6, 'D'), (9, 'H'), (8, 'S'), (2, 'S'), (4, 'S'), (11, 'H')]","[(5, 'H')]","[(3, 'H'), (1, 'H'), (7, 'S')]",12.0
1,"[(6, 'H'), (7, 'H'), (11, 'H'), (12, 'S'), (11, 'D'), (4, 'C'), (4, 'D'), (2, 'H')]",[],[],"[(6, 'H'), (7, 'H'), (11, 'H')]",16.0
1,"[(12, 'S'), (11, 'D'), (4, 'C'), (4, 'D'), (2, 'H'), (5, 'H'), (5, 'C'), (4, 'S')]","[(6, 'H'), (7, 'H'), (11, 'H')]",[],"[(12, 'S'), (11, 'D')]",17.0
1,"[(4, 'C'), (4, 'D'), (2, 'H'), (5, 'H'), (5, 'C'), (4, 'S'), (9, 'H'), (12, 'H')]","[(6, 'H'), (7, 'H'), (11, 'H'), (12, 'S'), (11, 'D')]",[],"[(4, 'C'), (4, 'D')]",36.0
1,"[(2, 'H'), (5, 'H'), (5, 'C'), (4, 'S'), (9, 'H'), (12, 'H'), (6, 'D'), (8, 'D')]","[(6, 'H'), (7, 'H'), (11, 'H'), (12, 'S'), (11, 'D'), (4, 'C'), (4, 'D')]",[],"[(5, 'H'), (5, 'C'), (12, 'H')]",40.0
