episode,total_reward
0,84.0
1,142.0
2,227.0
3,190.0
4,256.0
5,130.0
6,195.0
7,237.0
8,437.0
9,74.0
10,161.0
11,409.0
12,172.0
13,210.0
14,124.0
15,175.0
16,99.0
17,109.0
18,223.0
19,68.0
20,91.0
21,253.0
22,409.0
23,671.0
24,113.0
25,112.0
26,446.0
27,182.0
28,79.0
29,156.0
30,328.0
31,128.0
32,233.0
33,322.0
34,240.0
35,122.0
36,142.0
37,135.0
38,198.0
39,159.0
40,144.0
41,128.0
42,122.0
43,108.0
44,301.0
45,340.0
46,257.0
47,281.0
48,71.0
49,299.0
50,298.0
51,186.0
52,156.0
53,109.0
54,124.0
55,78.0
56,178.0
57,165.0
58,546.0
59,67.0
60,112.0
61,161.0
62,106.0
63,156.0
64,121.0
65,143.0
66,239.0
67,73.0
68,146.0
69,441.0
70,214.0
71,136.0
72,311.0
73,181.0
74,142.0
75,139.0
76,148.0
77,105.0
78,319.0
79,180.0
80,148.0
81,223.0
82,119.0
83,175.0
84,132.0
85,135.0
86,131.0
87,219.0
88,103.0
89,213.0
90,129.0
91,111.0
92,330.0
93,200.0
94,83.0
95,104.0
96,117.0
97,277.0
98,264.0
99,669.0
