episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage,subset
72,3,play,728.0,2,3,"[""2H"", ""11D"", ""12S"", ""9C"", ""2D"", ""11C"", ""11S"", ""11H""]","[""2H"", ""11D"", ""12S"", ""9C"", ""2D"", ""11C"", ""11S"", ""11H""]","[""6H"", ""7H"", ""9H"", ""1D"", ""4D"", ""5D"", ""7D"", ""8D"", ""10D"", ""12D"", ""1C"", ""2C"", ""5C"", ""6C"", ""8C"", ""12C"", ""5S"", ""6S"", ""8S"", ""10S""]",726.629196677059,play_top10
14,2,play,412.0,3,3,"[""13C"", ""13H"", ""12D"", ""13S"", ""12H"", ""5C"", ""7C"", ""9D""]","[""13C"", ""13H"", ""12D"", ""13S"", ""12H"", ""5C"", ""7C"", ""9D""]","[""3H"", ""4H"", ""5H"", ""8H"", ""9H"", ""10H"", ""1D"", ""2D"", ""3D"", ""5D"", ""6D"", ""13D"", ""1C"", ""3C"", ""4C"", ""6C"", ""8C"", ""10C"", ""11C"", ""12C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""10S"", ""11S""]",410.9861557719112,play_top10
25,4,play,408.0,1,3,"[""6S"", ""13C"", ""12S"", ""12D"", ""12H"", ""11D"", ""9H"", ""13H""]","[""6S"", ""13C"", ""12S"", ""12D"", ""12H"", ""11D"", ""9H"", ""13H""]","[""2H"", ""5H"", ""10H"", ""3D"", ""10D"", ""13D"", ""6C"", ""10C"", ""1S"", ""2S"", ""3S"", ""10S""]",406.85643899023535,play_top10
44,5,play,388.0,1,2,"[""1S"", ""11C"", ""4D"", ""9H"", ""11D"", ""12D"", ""12S"", ""11H""]","[""1S"", ""11C"", ""4D"", ""9H"", ""11D"", ""12D"", ""12S"", ""11H""]","[""1H"", ""8H"", ""9D"", ""2C"", ""4C"", ""5C"", ""8C"", ""4S""]",386.774136493206,play_top10
23,5,play,376.0,0,3,"[""9C"", ""12H"", ""4S"", ""9D"", ""1C"", ""13D"", ""12S"", ""12C""]","[""9C"", ""12H"", ""4S"", ""9D"", ""1C"", ""13D"", ""12S"", ""12C""]","[""1H"", ""6H"", ""11D"", ""6C""]",376.470400005579,play_top10
100,4,play,376.0,1,3,"[""9H"", ""12S"", ""7H"", ""12H"", ""9S"", ""6C"", ""13D"", ""12D""]","[""9H"", ""12S"", ""7H"", ""12H"", ""9S"", ""6C"", ""13D"", ""12D""]","[""7D"", ""9D"", ""2C"", ""3C"", ""8C"", ""11C"", ""1S"", ""3S"", ""4S"", ""6S"", ""7S"", ""10S""]",375.0484071564674,play_top10
56,3,play,372.0,2,3,"[""9C"", ""9H"", ""12H"", ""9S"", ""13S"", ""4H"", ""4C"", ""13H""]","[""9C"", ""9H"", ""12H"", ""9S"", ""13S"", ""4H"", ""4C"", ""13H""]","[""1H"", ""3H"", ""6H"", ""11H"", ""2D"", ""3D"", ""4D"", ""7D"", ""8D"", ""13D"", ""3C"", ""10C"", ""11C"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""11S"", ""12S""]",370.8930557063222,play_top10
77,2,play,368.0,3,3,"[""10D"", ""10S"", ""11H"", ""11C"", ""6H"", ""4C"", ""10H"", ""5D""]","[""10D"", ""10S"", ""11H"", ""11C"", ""6H"", ""4C"", ""10H"", ""5D""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""8H"", ""12H"", ""2D"", ""3D"", ""4D"", ""6D"", ""7D"", ""8D"", ""9D"", ""12D"", ""1C"", ""3C"", ""5C"", ""7C"", ""8C"", ""10C"", ""1S"", ""2S"", ""6S"", ""7S"", ""9S"", ""11S"", ""12S""]",367.36268654733897,play_top10
76,8,play,360.0,0,0,"[""2C"", ""8S"", ""12S"", ""7D"", ""1D"", ""7H"", ""12D"", ""12C""]","[""2C"", ""8S"", ""12S"", ""7D"", ""1D"", ""7H"", ""12D"", ""12C""]",[],360.69114458560944,play_top10
11,8,play,356.0,0,0,"[""9D"", ""3C"", ""2S"", ""9C"", ""2D"", ""11C"", ""11S"", ""9S""]","[""9D"", ""3C"", ""2S"", ""9C"", ""2D"", ""11C"", ""11S"", ""9S""]",[],356.62318700551987,play_top10
