episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
100,769,253.01999999999998,195.0,198.0,137.68640000000002,140.51,141.64,419.0,0.05,0.3
200,1522,167.63,205.0,206.0,138.2881,141.62,142.38,419.0,0.05,0.3
300,2286,49.06999999999999,147.0,149.0,147.88389999999998,151.02,151.98,427.0,0.05,0.3
400,3060,49.89,105.0,105.0,169.28439999999995,165.14,166.12,440.0,0.05,0.3
500,3818,42.01000000000001,72.0,72.0,149.5952,148.2,149.22,440.0,0.05,0.3
600,4582,166.86,191.0,193.0,138.43880000000001,145.48,146.52,487.0,0.04967479674796748,0.3416666666666667
700,5324,163.7,127.0,130.0,146.02290000000002,143.53,144.54,487.0,0.04967479674796748,0.3416666666666667
800,6086,187.03,116.0,116.0,147.3976,141.01,141.87,487.0,0.04967479674796748,0.3416666666666667
900,6845,-5.22999999999999,149.0,151.0,134.61470000000003,140.36,141.24,487.0,0.04967479674796748,0.3416666666666667
1000,7603,12.470000000000006,85.0,85.0,143.00459999999998,142.11,143.12,487.0,0.04967479674796748,0.3416666666666667
1100,8358,110.88,108.0,109.0,154.5402,155.61,156.57,540.0,0.049349593495934964,0.3833333333333333
1200,9100,124.0,124.0,124.0,145.971,145.33,146.53,678.0,0.049349593495934964,0.3833333333333333
1300,9865,162.0,162.0,162.0,142.68280000000001,147.99,148.97,678.0,0.049349593495934964,0.3833333333333333
1400,10623,162.55,118.0,118.0,121.7818,135.76,136.56,678.0,0.049349593495934964,0.3833333333333333
1500,11388,213.36999999999998,141.0,141.0,139.63379999999998,137.34,138.31,678.0,0.049349593495934964,0.3833333333333333
1600,12144,-67.50999999999999,130.0,133.0,153.7316,153.78,154.89,678.0,0.049349593495934964,0.3833333333333333
1700,12910,178.04,152.0,153.0,142.8295,141.15,142.14,678.0,0.04902439024390244,0.425
1800,13678,146.44,88.0,91.0,156.0243,153.14,154.04,678.0,0.04902439024390244,0.425
1900,14428,278.58,231.0,232.0,127.67959999999998,135.32,136.49,678.0,0.04902439024390244,0.425
2000,15200,145.36,142.0,144.0,152.0531,153.99,155.17,678.0,0.04902439024390244,0.425
2100,15954,125.43,117.0,119.0,144.2626,144.55,145.58,678.0,0.04902439024390244,0.425
2200,16713,87.89,75.0,77.0,139.3568,139.19,140.26,678.0,0.04869918699186992,0.4666666666666667
2300,17476,261.61,307.0,308.0,157.4631,162.67,164.04,678.0,0.04869918699186992,0.4666666666666667
2400,18230,234.53,232.0,237.0,152.94979999999998,155.55,156.78,678.0,0.04869918699186992,0.4666666666666667
2500,18974,88.0,88.0,88.0,166.6494,159.52,160.85,678.0,0.04869918699186992,0.4666666666666667
2600,19722,158.07999999999998,113.0,114.0,154.86639999999997,158.81,160.3,678.0,0.04869918699186992,0.4666666666666667
2700,20477,129.05,156.0,158.0,143.83180000000002,151.89,153.16,678.0,0.04869918699186992,0.4666666666666667
2800,21208,78.66,72.0,75.0,177.20109999999997,182.44,183.97,736.0,0.0483739837398374,0.5083333333333333
2900,21941,128.8,167.0,169.0,158.51089999999996,164.45,166.13,736.0,0.0483739837398374,0.5083333333333333
3000,22684,89.0,89.0,91.0,168.50420000000003,169.31,170.78,736.0,0.0483739837398374,0.5083333333333333
3100,23434,65.37,187.0,188.0,168.59999999999997,166.44,167.89,736.0,0.0483739837398374,0.5083333333333333
3200,24172,94.95,77.0,77.0,168.2757,172.86,174.43,736.0,0.0483739837398374,0.5083333333333333
3300,24917,57.85,77.0,77.0,173.25650000000002,171.75,173.34,736.0,0.04804878048780488,0.55
3400,25617,159.85,133.0,134.0,163.776,163.39,165.16,736.0,0.04804878048780488,0.55
3500,26349,181.92,153.0,155.0,180.52489999999997,178.49,180.38,756.0,0.04804878048780488,0.55
3600,27080,146.72,129.0,132.0,167.32449999999997,159.59,161.51,756.0,0.04804878048780488,0.55
3700,27814,182.73000000000002,137.0,138.0,168.84579999999997,168.09,169.84,756.0,0.04804878048780488,0.55
3800,28516,145.43,120.0,122.0,158.9882,162.12,164.13,756.0,0.04804878048780488,0.55
3900,29232,236.49,201.0,203.0,165.15550000000002,160.55,162.67,756.0,0.04772357723577236,0.5916666666666667
4000,29943,217.72,248.0,251.0,170.00920000000002,171.41,173.48,756.0,0.04772357723577236,0.5916666666666667
4100,30646,212.6,207.0,210.0,176.98100000000002,170.77,173.25,756.0,0.04772357723577236,0.5916666666666667
4200,31361,45.53,150.0,150.0,158.5395,165.92,168.37,756.0,0.04772357723577236,0.5916666666666667
4300,32064,104.16,130.0,132.0,185.78340000000003,188.13,190.25,756.0,0.04772357723577236,0.5916666666666667
4400,32784,174.32999999999998,120.0,124.0,181.75820000000004,179.06,181.54,756.0,0.04739837398373984,0.6333333333333333
4500,33494,163.07999999999998,166.0,169.0,181.7918,180.74,183.01,756.0,0.04739837398373984,0.6333333333333333
4600,34217,453.27,400.0,403.0,188.49180000000004,182.62,184.94,756.0,0.04739837398373984,0.6333333333333333
4700,34939,168.85,108.0,110.0,197.0586,192.55,195.02,756.0,0.04739837398373984,0.6333333333333333
4800,35660,137.60000000000002,119.0,121.0,180.34680000000003,180.42,182.87,756.0,0.04739837398373984,0.6333333333333333
4900,36354,186.87,129.0,131.0,175.48410000000004,178.87,181.25,756.0,0.04739837398373984,0.6333333333333333
5000,37073,192.02,175.0,181.0,180.59459999999999,178.92,181.64,868.0,0.04707317073170732,0.675
5100,37764,238.46,232.0,236.0,173.90279999999998,176.05,178.94,868.0,0.04707317073170732,0.675
