episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
100,799,286.6933333333333,190.0,190.0,454.54320000000007,361.26,361.26,1124.0,0.05,0.625
200,1596,21.426666666666662,121.0,121.0,406.4672,361.08,361.08,1124.0,0.05,0.625
300,2393,628.5600000000001,484.0,484.0,392.91453333333334,353.85,353.85,1124.0,0.05,0.625
400,3192,400.0,284.0,284.0,417.75053333333335,362.69,362.69,1124.0,0.05,0.625
500,3991,365.96,247.0,247.0,433.90039999999993,351.65,351.65,1179.0,0.05,0.625
600,4790,334.37333333333333,184.0,184.0,408.75093333333336,331.08,331.08,1179.0,0.04949367088607595,0.625
700,5588,222.79999999999998,390.0,390.0,427.2638666666667,377.93,377.93,1179.0,0.04949367088607595,0.625
800,6385,754.0933333333334,381.0,381.0,392.7294666666666,343.51,343.51,1179.0,0.04949367088607595,0.625
900,7184,352.76,361.0,361.0,399.6648,360.52,360.52,1179.0,0.04949367088607595,0.625
1000,7981,117.70666666666666,154.0,154.0,396.4081333333333,340.29,340.29,1179.0,0.04949367088607595,0.625
1100,8778,1194.08,1010.0,1010.0,442.8112000000001,369.56,369.56,1191.0,0.0489873417721519,0.625
1200,9574,291.8266666666667,459.0,459.0,417.4194666666666,354.24,354.24,1191.0,0.0489873417721519,0.625
1300,10370,332.71999999999997,320.0,320.0,361.7898666666666,318.2,318.2,1191.0,0.0489873417721519,0.625
1400,11164,682.0,532.0,532.0,448.5441333333333,380.33,380.33,1191.0,0.0489873417721519,0.625
1500,11960,251.16000000000003,141.0,141.0,459.9629333333333,388.04,388.04,1191.0,0.0489873417721519,0.625
1600,12758,633.7866666666666,396.0,396.0,402.56106666666676,352.76,352.76,1296.0,0.04848101265822785,0.625
1700,13552,61.173333333333346,206.0,206.0,388.7398666666667,343.35,343.35,1296.0,0.04848101265822785,0.625
1800,14349,277.2,182.0,182.0,396.80773333333326,315.72,315.72,1296.0,0.04848101265822785,0.625
1900,15143,156.96,290.0,290.0,396.06879999999995,341.04,341.04,1296.0,0.04848101265822785,0.625
2000,15935,264.9333333333333,306.0,306.0,393.138,343.57,343.57,1296.0,0.04848101265822785,0.625
2100,16732,458.08000000000004,326.0,326.0,409.49413333333337,348.8,348.8,1296.0,0.0479746835443038,0.625
2200,17520,164.97333333333336,347.0,347.0,402.8957333333334,340.06,340.06,1296.0,0.0479746835443038,0.7142857142857143
2300,18308,169.41333333333333,152.0,152.0,401.02333333333337,328.45,328.45,1296.0,0.0479746835443038,0.625
2400,19101,571.12,384.0,384.0,394.7271999999999,327.16,327.16,1296.0,0.0479746835443038,0.625
2500,19883,435.5466666666667,476.0,476.0,444.6173333333334,368.66,368.66,1412.0,0.0479746835443038,0.625
2600,20669,665.96,559.0,559.0,404.0645333333333,344.9,344.9,1412.0,0.04746835443037975,0.625
2700,21457,522.1066666666667,346.0,346.0,394.45266666666663,329.91,329.91,1412.0,0.04746835443037975,0.625
2800,22250,-72.38666666666668,121.0,121.0,357.7110666666667,307.75,307.75,1412.0,0.04746835443037975,0.625
2900,23036,452.23999999999995,400.0,400.0,364.0617333333334,324.59,324.59,1412.0,0.04746835443037975,0.625
3000,23826,187.0,187.0,187.0,407.25453333333337,358.29,358.29,1412.0,0.04746835443037975,1.0
3100,24611,526.8000000000001,246.0,246.0,383.18240000000003,324.7,324.7,1412.0,0.0469620253164557,0.625
3200,25405,692.0533333333334,360.0,360.0,401.87160000000006,334.15,334.15,1412.0,0.0469620253164557,0.625
3300,26202,350.84,219.0,219.0,391.6150666666667,324.17,324.17,1412.0,0.0469620253164557,0.625
3400,26997,187.39999999999998,403.0,403.0,382.52226666666667,339.41,339.41,1412.0,0.0469620253164557,0.625
3500,27789,849.3199999999999,619.0,619.0,386.4894666666667,337.59,337.59,1412.0,0.0469620253164557,0.625
3600,28578,289.97333333333336,122.0,122.0,407.8756000000001,328.25,328.25,1412.0,0.0469620253164557,0.625
3700,29368,402.8,300.0,300.0,364.5884000000001,326.19,326.19,1412.0,0.04645569620253165,0.625
3800,30161,268.96,260.0,260.0,374.84253333333334,330.97,330.97,1412.0,0.04645569620253165,0.625
3900,30957,455.93333333333334,207.0,207.0,416.8090666666667,337.48,337.48,1412.0,0.04645569620253165,0.625
4000,31746,103.66666666666663,123.0,123.0,369.4073333333334,300.07,300.07,1412.0,0.04645569620253165,0.625
4100,32543,812.48,528.0,528.0,379.1054666666667,322.31,322.31,1412.0,0.04645569620253165,0.625
4200,33340,353.1466666666667,150.0,150.0,391.55533333333335,337.07,337.07,1412.0,0.0459493670886076,0.625
4300,34138,369.5466666666667,304.0,304.0,379.49280000000005,309.74,309.74,1412.0,0.0459493670886076,0.625
4400,34938,354.96000000000004,182.0,182.0,362.1964,345.17,345.17,1412.0,0.0459493670886076,0.625
4500,35737,392.52,173.0,173.0,430.34719999999993,357.02,357.02,1412.0,0.0459493670886076,0.625
4600,36532,634.64,378.0,378.0,378.79160000000013,323.27,323.27,1412.0,0.0459493670886076,0.625
4700,37329,319.53333333333336,259.0,259.0,404.29079999999993,345.35,345.35,1412.0,0.04544303797468355,0.625
4800,38117,428.24,308.0,308.0,408.4907999999999,324.03,324.03,1412.0,0.04544303797468355,0.625
4900,38914,335.06666666666666,242.0,242.0,412.552,324.48,324.48,1412.0,0.04544303797468355,0.625
5000,39713,157.41333333333333,326.0,326.0,361.15053333333327,315.97,315.97,1412.0,0.04544303797468355,0.625
5100,40509,486.92,239.0,239.0,410.91026666666664,325.79,325.79,1412.0,0.04544303797468355,0.625
5200,41303,370.36,417.0,417.0,394.7674666666668,312.3,312.3,1412.0,0.0449367088607595,0.625
5300,42098,487.3333333333333,386.0,386.0,388.7045333333333,326.04,326.04,1412.0,0.0449367088607595,0.7142857142857143
5400,42889,184.73333333333335,311.0,311.0,355.91573333333326,308.84,308.84,1412.0,0.0449367088607595,0.625
5500,43687,969.6266666666667,900.0,900.0,340.1022666666667,312.53,312.53,1412.0,0.0449367088607595,0.625
5600,44484,642.6133333333333,610.0,610.0,416.79040000000003,334.58,334.58,1412.0,0.0449367088607595,0.625
5700,45283,326.4533333333333,338.0,338.0,334.50333333333333,294.53,294.53,1412.0,0.04443037974683545,0.625
5800,46079,126.45333333333333,174.0,174.0,412.6232,342.24,342.24,1412.0,0.04443037974683545,0.625
5900,46874,339.50666666666666,391.0,391.0,401.8741333333335,340.82,340.82,1412.0,0.04443037974683545,0.625
6000,47672,829.0133333333333,676.0,676.0,364.9732,313.49,313.49,1412.0,0.04443037974683545,0.625
6100,48468,194.36,181.0,181.0,427.4088,342.56,342.56,1412.0,0.04443037974683545,0.625
6200,49267,645.64,469.0,469.0,379.00973333333326,316.21,316.21,1412.0,0.043924050632911396,0.625
6300,50062,74.0,74.0,74.0,389.6813333333332,330.94,330.94,1412.0,0.043924050632911396,1.0
6400,50856,390.81333333333333,327.0,327.0,358.8437333333333,310.0,310.0,1412.0,0.043924050632911396,0.625
6500,51650,377.73333333333335,380.0,380.0,390.6041333333333,333.03,333.03,1412.0,0.043924050632911396,0.625
6600,52450,257.6533333333333,312.0,312.0,371.0209333333334,310.03,310.03,1412.0,0.043924050632911396,0.625
6700,53247,467.4133333333333,262.0,262.0,393.5092000000001,337.59,337.59,1412.0,0.043924050632911396,0.625
6800,54044,810.12,915.0,915.0,386.53986666666674,319.63,319.63,1412.0,0.043417721518987346,0.625
6900,54841,426.4,210.0,210.0,341.5577333333333,304.93,304.93,1412.0,0.043417721518987346,0.625
7000,55639,211.12,236.0,236.0,324.2368,287.9,287.9,1412.0,0.043417721518987346,0.625
7100,56430,367.70666666666665,206.0,206.0,373.588,308.0,308.0,1412.0,0.043417721518987346,0.625
7200,57223,739.28,568.0,568.0,388.9841333333334,322.83,322.83,1412.0,0.043417721518987346,0.625
7300,58008,392.26666666666665,480.0,480.0,409.9869333333334,333.62,333.62,1412.0,0.042911392405063295,0.625
7400,58798,664.7733333333333,396.0,396.0,412.50226666666657,334.47,334.47,1412.0,0.042911392405063295,0.625
7500,59588,-0.5733333333333377,77.0,77.0,317.8408,304.34,304.34,1412.0,0.042911392405063295,0.8333333333333334
7600,60375,175.57333333333335,150.0,150.0,371.55653333333333,324.66,324.66,1412.0,0.042911392405063295,0.625
7700,61166,582.4533333333334,326.0,326.0,358.07813333333337,303.18,303.18,1412.0,0.042911392405063295,0.625
7800,61954,441.6933333333333,279.0,279.0,399.7032000000001,335.5,335.5,1412.0,0.042405063291139244,0.625
7900,62745,596.3333333333334,363.0,363.0,382.436,330.5,330.5,1412.0,0.042405063291139244,0.625
8000,63537,481.62666666666667,636.0,636.0,376.2896,326.68,326.68,1412.0,0.042405063291139244,0.625
8100,64325,134.4133333333333,255.0,255.0,378.48173333333324,307.81,307.81,1412.0,0.042405063291139244,0.625
8200,65114,405.71999999999997,395.0,395.0,363.9429333333334,314.68,314.68,1412.0,0.042405063291139244,0.625
8300,65907,461.5466666666667,278.0,278.0,351.30840000000006,302.43,302.43,1412.0,0.041898734177215194,0.625
8400,66699,215.30666666666667,298.0,298.0,332.8034666666666,288.38,288.38,1412.0,0.041898734177215194,0.625
