episode,avg_score_7rounds,total_score,num_jokers,avg_score_50,joker_ids
50,4807.142857142857,33650.0,5,52886.73142857142,"[0, 8, 18, 7, 22]"
100,3491.8571428571427,24443.0,5,16268.12,"[15, 4, 0, 6, 2]"
150,3715.5714285714284,26009.0,5,18606.845714285715,"[17, 18, 21, 5, 12]"
200,3152.4285714285716,22067.0,5,54172.928571428565,"[7, 10, 1, 21, 3]"
250,1664.0,11648.0,5,18803.820000000003,"[5, 7, 21, 4, 9]"
300,2321.714285714286,16252.0,5,16251.45142857143,"[0, 1, 29, 2, 17]"
350,141752.7142857143,992269.0,5,34222.08,"[29, 27, 9, 0, 1]"
400,3005.0,21035.0,5,41214.588571428576,"[16, 29, 13, 17, 19]"
450,26806.14285714286,187643.0,5,28530.397142857146,"[29, 24, 18, 21, 19]"
500,18734.428571428572,131141.0,5,24105.011428571433,"[27, 7, 13, 1, 9]"
550,3035.8571428571427,21251.0,5,39841.759999999995,"[13, 23, 29, 1, 6]"
600,2922.714285714286,20459.0,5,44068.794285714284,"[23, 8, 28, 18, 13]"
650,1405.142857142857,9836.0,5,20367.025714285715,"[2, 29, 25, 5, 21]"
700,2171.285714285714,15199.0,5,40452.75142857143,"[8, 3, 17, 7, 9]"
750,3164.5714285714284,22152.0,5,70988.59142857142,"[6, 9, 23, 5, 8]"
800,931.4285714285714,6520.0,5,56110.57428571429,"[1, 6, 0, 13, 7]"
850,7803.857142857143,54627.0,5,29500.01714285714,"[19, 23, 5, 24, 1]"
900,62043.28571428572,434303.0,5,32464.94,"[27, 18, 23, 8, 9]"
950,3171.0,22197.0,5,102470.51714285716,"[15, 6, 26, 7, 9]"
1000,2587.4285714285716,18112.0,5,68190.38571428572,"[22, 6, 21, 15, 29]"
1050,1423.0,9961.0,5,58007.87714285715,"[3, 7, 19, 5, 12]"
1100,30861.428571428572,216030.0,5,56448.93142857143,"[27, 12, 8, 9, 7]"
1150,2695.0,18865.0,5,22501.68285714286,"[17, 9, 12, 13, 16]"
1200,17518.285714285714,122628.0,5,91788.12,"[24, 1, 4, 16, 13]"
1250,2604.4285714285716,18231.0,5,47400.03428571428,"[22, 7, 6, 5, 9]"
1300,13889.42857142857,97226.0,5,23925.52285714286,"[24, 22, 1, 15, 25]"
1350,1268063.4285714286,8876444.0,5,117327.01714285716,"[15, 24, 7, 29, 27]"
1400,36626.0,256382.0,5,79645.49714285714,"[27, 21, 15, 17, 7]"
1450,507830.4285714286,3554813.0,5,141952.23714285714,"[28, 27, 21, 20, 24]"
1500,74521.28571428571,521649.0,5,61192.19142857143,"[20, 28, 26, 25, 4]"
1550,8543.857142857143,59807.0,5,144683.73142857142,"[21, 24, 11, 1, 9]"
1600,3246.0,22722.0,5,106115.93142857144,"[20, 5, 21, 8, 1]"
1650,3016.714285714286,21117.0,5,166040.85428571427,"[25, 4, 14, 9, 19]"
1700,976.7142857142857,6837.0,5,57836.89714285714,"[2, 3, 13, 6, 18]"
1750,13188.0,92316.0,5,177933.4657142857,"[1, 22, 26, 28, 8]"
1800,84804.71428571429,593633.0,5,35114.17428571429,"[0, 27, 8, 21, 3]"
1850,344197.71428571426,2409384.0,5,69896.94571428571,"[15, 27, 6, 22, 2]"
1900,46506.28571428572,325544.0,5,103978.60857142856,"[0, 25, 9, 24, 17]"
1950,1295.2857142857142,9067.0,5,194262.5857142857,"[18, 9, 7, 5, 2]"
2000,225305.7142857143,1577140.0,5,238070.8057142857,"[25, 27, 28, 15, 29]"
2050,1698.7142857142858,11891.0,5,159126.20571428575,"[8, 9, 1, 3, 18]"
2100,87392.28571428571,611746.0,5,132636.64285714284,"[4, 27, 20, 29, 21]"
2150,179263.2857142857,1254843.0,5,120600.92857142857,"[11, 27, 17, 25, 10]"
2200,67010.28571428571,469072.0,5,244645.18285714285,"[7, 13, 6, 27, 18]"
2250,57616.857142857145,403318.0,5,53612.77428571429,"[10, 8, 2, 27, 28]"
2300,1625.2857142857142,11377.0,5,89630.28857142857,"[29, 7, 9, 6, 23]"
2350,36289.142857142855,254024.0,5,138050.67428571428,"[23, 21, 8, 5, 15]"
2400,4200.285714285715,29402.0,5,74519.57142857143,"[7, 6, 20, 17, 8]"
2450,139434.7142857143,976043.0,5,139955.0942857143,"[19, 23, 27, 0, 25]"
2500,638.1428571428571,4467.0,4,62980.69142857143,"[21, 8, 18, 7]"
2550,12446.285714285714,87124.0,5,66130.73999999999,"[20, 22, 26, 11, 8]"
2600,1050.142857142857,7351.0,5,221533.59428571432,"[9, 19, 21, 7, 1]"
2650,32339.571428571428,226377.0,5,33543.31428571429,"[6, 3, 24, 28, 15]"
2700,91332.71428571429,639329.0,5,64658.37428571429,"[8, 21, 24, 10, 13]"
2750,558410.4285714285,3908873.0,5,173064.55142857137,"[24, 8, 18, 17, 27]"
2800,7050.571428571428,49354.0,5,186406.97142857139,"[17, 24, 4, 13, 11]"
