episode,steps,return_train,return_plot,avg_train_100,avg_plot_100,max_plot,ecoef,coef_dis
10,103,147.0,147.0,282.9,155.9,275.0,0.05,0.0
20,210,263.0,263.0,318.8,192.5,496.0,0.05,0.0
30,319,169.0,169.0,311.73333333333335,176.9,496.0,0.05,0.0
40,427,191.0,191.0,305.7,169.925,496.0,0.05,0.0
50,534,112.0,112.0,304.26,167.04,496.0,0.05,0.0
60,628,248.0,192.0,298.06666666666666,161.85,496.0,0.05,0.0
70,745,147.0,147.0,299.57142857142856,162.34285714285716,496.0,0.05,0.0
80,850,440.0,288.0,287.4625,159.5375,496.0,0.05,0.0
90,962,296.0,166.0,287.34444444444443,160.9,496.0,0.05,0.0
100,1063,160.0,117.0,279.33,156.84,496.0,0.05,0.0
110,1147,148.0,72.0,283.31,156.22,496.0,0.05,0.0
120,1237,158.0,142.0,276.75,151.55,496.0,0.05,0.0
130,1369,272.0,114.0,279.3,155.21,496.0,0.05,0.0
140,1459,192.0,123.0,280.71,161.58,530.0,0.05,0.0
150,1569,175.0,175.0,279.21,163.11,530.0,0.05,0.0
160,1668,151.0,123.0,282.19,166.06,530.0,0.05,0.0
170,1780,193.0,185.0,280.87,166.18,530.0,0.05,0.0
180,1913,382.0,218.0,295.18,174.1,530.0,0.05,0.0
190,2002,186.0,138.0,289.38,168.37,530.0,0.05,0.0
200,2104,161.0,149.0,290.39,167.01,530.0,0.05,0.0
210,2204,299.0,191.0,274.98,163.86,530.0,0.05,0.0
220,2304,165.0,165.0,273.43,160.58,530.0,0.05,0.0
230,2418,688.0,468.0,275.45,163.84,530.0,0.05,0.0
240,2526,162.0,138.0,283.95,172.49,831.0,0.05,0.0
250,2622,167.0,167.0,282.65,170.55,831.0,0.05,0.0
260,2714,201.0,76.0,271.18,166.88,831.0,0.05,0.0
270,2802,133.0,113.0,265.91,166.12,831.0,0.05,0.0
280,2905,280.0,192.0,260.95,163.92,831.0,0.05,0.0
290,3006,478.0,206.0,276.58,173.71,831.0,0.05,0.0
300,3102,398.0,150.0,295.75,180.44,831.0,0.05,0.0
310,3210,142.0,110.0,300.1,182.63,831.0,0.05,0.0
320,3312,227.0,76.0,308.79,184.62,831.0,0.05,0.0
330,3440,384.0,132.0,312.52,179.33,831.0,0.05,0.0
340,3530,359.0,276.0,301.81,164.42,831.0,0.05,0.0
350,3646,170.0,99.0,300.03,163.6,831.0,0.05,0.0
360,3751,122.0,118.0,307.94,167.72,831.0,0.05,0.0
370,3846,325.0,117.0,312.82,168.98,831.0,0.05,0.0
380,3943,188.0,188.0,313.0,164.18,831.0,0.05,0.0
390,4028,476.0,312.0,300.96,163.36,831.0,0.05,0.0
400,4137,346.0,226.0,285.97,158.73,831.0,0.030000000000000002,0.1
410,4274,233.0,113.0,294.62,161.71,831.0,0.030000000000000002,0.1
420,4379,132.0,78.0,284.04,159.93,831.0,0.030000000000000002,0.1
430,4518,366.0,106.0,271.42,158.73,831.0,0.030000000000000002,0.1
440,4634,368.0,136.0,272.97,156.71,831.0,0.030000000000000002,0.1
450,4741,121.0,77.0,270.83,150.86,831.0,0.030000000000000002,0.1
460,4877,194.0,122.0,275.2,152.48,831.0,0.030000000000000002,0.1
