episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
100,769,391.73333333333335,195.0,198.0,228.0842666666667,140.51,141.64,419.0,0.05,0.3
200,1522,254.68666666666667,205.0,206.0,211.9940666666667,141.62,142.38,419.0,0.05,0.3
300,2286,108.31333333333333,147.0,149.0,224.0792666666666,151.02,151.98,427.0,0.05,0.3
400,3060,77.15333333333334,105.0,105.0,248.674,165.14,166.12,440.0,0.05,0.3
500,3818,134.4733333333333,72.0,72.0,225.41626666666667,148.2,149.22,440.0,0.05,0.3
600,4587,304.6333333333333,97.0,97.0,218.62400000000002,149.74,150.76,849.0,0.04983673469387755,0.3208333333333333
700,5332,258.1733333333333,205.0,206.0,214.42620000000002,153.16,154.15,849.0,0.04983673469387755,0.3208333333333333
800,6094,285.14666666666665,202.0,202.0,226.5012666666667,138.71,139.57,849.0,0.04983673469387755,0.3208333333333333
900,6853,65.46,114.0,115.0,214.62433333333334,140.74,141.64,849.0,0.04983673469387755,0.3208333333333333
1000,7609,152.06666666666666,154.0,154.0,213.662,144.56,145.55,849.0,0.04983673469387755,0.3208333333333333
1100,8372,250.68666666666664,228.0,232.0,238.48693333333335,161.41,162.42,849.0,0.049673469387755104,0.3416666666666667
1200,9124,135.50666666666666,75.0,75.0,216.33120000000002,139.0,140.06,849.0,0.049673469387755104,0.3416666666666667
1300,9893,470.6,219.0,219.0,232.20086666666666,146.14,147.08,849.0,0.049673469387755104,0.3416666666666667
1400,10666,197.04000000000002,174.0,176.0,214.38966666666664,136.12,136.99,849.0,0.049673469387755104,0.3416666666666667
1500,11434,285.4666666666667,173.0,174.0,256.725,160.06,161.05,849.0,0.049673469387755104,0.3416666666666667
1600,12203,413.90000000000003,216.0,218.0,232.55359999999996,147.98,149.21,849.0,0.049673469387755104,0.3416666666666667
1700,12984,375.1066666666667,250.0,252.0,236.19119999999998,147.66,148.61,849.0,0.049510204081632654,0.3625
1800,13757,199.46666666666667,117.0,117.0,230.25446666666664,154.02,154.84,849.0,0.049510204081632654,0.3625
1900,14535,255.14666666666665,190.0,190.0,246.64246666666662,158.74,159.84,849.0,0.049510204081632654,0.3625
2000,15312,128.38,174.0,174.0,225.94100000000003,138.28,139.31,849.0,0.049510204081632654,0.3625
2100,16088,267.73333333333335,97.0,97.0,222.30486666666667,135.26,136.15,849.0,0.049510204081632654,0.3625
2200,16858,164.64000000000001,135.0,139.0,247.9684,151.68,152.72,849.0,0.049346938775510205,0.3833333333333333
2300,17644,260.93333333333334,109.0,110.0,245.64799999999997,162.27,163.28,849.0,0.049346938775510205,0.3833333333333333
2400,18417,252.26666666666665,113.0,113.0,232.31726666666665,150.53,151.66,849.0,0.049346938775510205,0.3833333333333333
2500,19198,103.62,133.0,135.0,225.6011333333333,144.2,145.09,849.0,0.049346938775510205,0.3833333333333333
2600,19964,231.38666666666666,172.0,172.0,235.0938,150.31,151.49,849.0,0.049346938775510205,0.3833333333333333
2700,20741,265.67333333333335,186.0,187.0,240.06259999999997,156.03,157.34,849.0,0.049183673469387755,0.4041666666666667
2800,21521,262.8666666666667,153.0,153.0,244.0496,158.3,159.58,849.0,0.049183673469387755,0.4041666666666667
2900,22298,83.75999999999999,92.0,92.0,222.02839999999992,150.88,152.06,849.0,0.049183673469387755,0.4041666666666667
3000,23081,220.93333333333334,102.0,102.0,245.37073333333333,163.91,165.12,849.0,0.049183673469387755,0.4041666666666667
3100,23867,226.07333333333332,144.0,145.0,232.84053333333338,153.81,155.06,849.0,0.049183673469387755,0.4041666666666667
