episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
1,1,play,17.0,4,3,"[""11H"", ""5C"", ""3H"", ""12D"", ""4S"", ""9D"", ""1C"", ""10D""]","[""11H"", ""5C"", ""3H"", ""12D"", ""4S"", ""9D"", ""1C"", ""10D""]","[""2H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""13H"", ""1D"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""11D"", ""13D"", ""2C"", ""3C"", ""4C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""2S"", ""5S"", ""7S"", ""8S"", ""10S"", ""11S"", ""12S"", ""13S""]",-105.98999664306643
1,2,play,44.0,3,3,"[""9S"", ""3S"", ""6C"", ""1H"", ""2D"", ""6S"", ""10H"", ""12H""]","[""9S"", ""3S"", ""6C"", ""1H"", ""2D"", ""6S"", ""10H"", ""12H""]","[""4H"", ""5H"", ""6H"", ""7H"", ""9H"", ""13H"", ""1D"", ""3D"", ""4D"", ""5D"", ""6D"", ""8D"", ""11D"", ""2C"", ""4C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""7S"", ""8S"", ""10S"", ""11S"", ""12S"", ""13S""]",-70.0857864379883
1,3,play,28.0,2,3,"[""7D"", ""3C"", ""2H"", ""5S"", ""2S"", ""8H"", ""13D"", ""9C""]","[""7D"", ""3C"", ""2H"", ""5S"", ""2S"", ""8H"", ""13D"", ""9C""]","[""5H"", ""6H"", ""9H"", ""13H"", ""1D"", ""4D"", ""5D"", ""6D"", ""11D"", ""2C"", ""4C"", ""7C"", ""8C"", ""12C"", ""13C"", ""1S"", ""7S"", ""8S"", ""12S"", ""13S""]",-62.23753295898439
1,4,play,124.0,1,3,"[""8D"", ""11C"", ""4H"", ""3D"", ""10C"", ""11S"", ""10S"", ""7H""]","[""8D"", ""11C"", ""4H"", ""3D"", ""10C"", ""11S"", ""10S"", ""7H""]","[""1D"", ""4D"", ""6D"", ""11D"", ""2C"", ""7C"", ""8C"", ""12C"", ""13C"", ""1S"", ""12S"", ""13S""]",-13.41389785766603
1,5,play,260.0,0,3,"[""5D"", ""8S"", ""7S"", ""4C"", ""5H"", ""6H"", ""9H"", ""13H""]","[""5D"", ""8S"", ""7S"", ""4C"", ""5H"", ""6H"", ""9H"", ""13H""]","[""4D"", ""11D"", ""7C"", ""13S""]",131.0903778076172
2,1,play,288.0,4,3,"[""13D"", ""4D"", ""11D"", ""6D"", ""3D"", ""4C"", ""4H"", ""7C""]","[""13D"", ""4D"", ""11D"", ""6D"", ""3D"", ""4C"", ""4H"", ""7C""]","[""1H"", ""2H"", ""3H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""10H"", ""11H"", ""13H"", ""1D"", ""2D"", ""5D"", ""7D"", ""9D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""5C"", ""6C"", ""8C"", ""9C"", ""11C"", ""13C"", ""1S"", ""4S"", ""5S"", ""6S"", ""7S"", ""9S"", ""10S"", ""11S"", ""13S""]",196.362658996582
2,2,play,368.0,3,3,"[""3S"", ""12S"", ""8D"", ""8S"", ""10C"", ""12C"", ""2S"", ""12H""]","[""3S"", ""12S"", ""8D"", ""8S"", ""10C"", ""12C"", ""2S"", ""12H""]","[""1H"", ""2H"", ""5H"", ""6H"", ""9H"", ""10H"", ""11H"", ""1D"", ""2D"", ""5D"", ""7D"", ""9D"", ""10D"", ""1C"", ""2C"", ""3C"", ""6C"", ""8C"", ""9C"", ""13C"", ""1S"", ""4S"", ""6S"", ""7S"", ""9S"", ""10S"", ""11S"", ""13S""]",234.03597503662104
2,3,play,40.0,2,3,"[""8H"", ""5C"", ""5S"", ""3H"", ""12D"", ""7H"", ""13H"", ""11C""]","[""8H"", ""5C"", ""5S"", ""3H"", ""12D"", ""7H"", ""13H"", ""11C""]","[""1H"", ""2H"", ""6H"", ""9H"", ""11H"", ""1D"", ""2D"", ""5D"", ""7D"", ""10D"", ""1C"", ""3C"", ""6C"", ""8C"", ""9C"", ""4S"", ""6S"", ""7S"", ""10S"", ""11S""]",-97.64043930053708
2,4,play,128.0,1,3,"[""1S"", ""9S"", ""5H"", ""10H"", ""2C"", ""9D"", ""13S"", ""13C""]","[""1S"", ""9S"", ""5H"", ""10H"", ""2C"", ""9D"", ""13S"", ""13C""]","[""1H"", ""2H"", ""6H"", ""9H"", ""10D"", ""1C"", ""3C"", ""6C"", ""8C"", ""6S"", ""7S"", ""11S""]",8.602771072387696
2,5,play,16.0,0,3,"[""11H"", ""5D"", ""4S"", ""2D"", ""7D"", ""1D"", ""10S"", ""9C""]","[""11H"", ""5D"", ""4S"", ""2D"", ""7D"", ""1D"", ""10S"", ""9C""]","[""1H"", ""6H"", ""8C"", ""6S""]",-84.4994125366211
3,1,play,124.0,4,3,"[""9H"", ""8S"", ""12D"", ""7D"", ""5H"", ""2D"", ""9D"", ""12C""]","[""9H"", ""8S"", ""12D"", ""7D"", ""5H"", ""2D"", ""9D"", ""12C""]","[""1H"", ""2H"", ""6H"", ""7H"", ""10H"", ""12H"", ""1D"", ""3D"", ""4D"", ""5D"", ""6D"", ""8D"", ""10D"", ""11D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""11C"", ""1S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""9S"", ""10S"", ""11S"", ""12S"", ""13S""]",-18.211077270507758
3,2,play,296.0,3,3,"[""13C"", ""10C"", ""4H"", ""11H"", ""3H"", ""2S"", ""13H"", ""8H""]","[""13C"", ""10C"", ""4H"", ""11H"", ""3H"", ""2S"", ""13H"", ""8H""]","[""2H"", ""6H"", ""7H"", ""10H"", ""12H"", ""1D"", ""5D"", ""6D"", ""8D"", ""10D"", ""11D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""9C"", ""11C"", ""1S"", ""4S"", ""5S"", ""6S"", ""9S"", ""11S"", ""13S""]",163.77576324462893
3,3,play,32.0,2,3,"[""12S"", ""1H"", ""10S"", ""3S"", ""4D"", ""7S"", ""3D"", ""8C""]","[""12S"", ""1H"", ""10S"", ""3S"", ""4D"", ""7S"", ""3D"", ""8C""]","[""2H"", ""6H"", ""7H"", ""10H"", ""12H"", ""1D"", ""6D"", ""8D"", ""10D"", ""11D"", ""13D"", ""1C"", ""2C"", ""4C"", ""5C"", ""6C"", ""1S"", ""4S"", ""5S"", ""13S""]",-47.568327331542946
3,4,play,120.0,1,3,"[""9S"", ""3C"", ""9C"", ""11C"", ""6S"", ""5D"", ""7C"", ""11S""]","[""9S"", ""3C"", ""9C"", ""11C"", ""6S"", ""5D"", ""7C"", ""11S""]","[""2H"", ""6H"", ""10H"", ""6D"", ""8D"", ""10D"", ""1C"", ""5C"", ""6C"", ""4S"", ""5S"", ""13S""]",-44.2968879699707
3,5,play,24.0,0,3,"[""1S"", ""2C"", ""4C"", ""7H"", ""11D"", ""1D"", ""12H"", ""13D""]","[""1S"", ""2C"", ""4C"", ""7H"", ""11D"", ""1D"", ""12H"", ""13D""]","[""10H"", ""10D"", ""6C"", ""5S""]",-68.70606994628906
